[0.000000] (-) TimerEvent: {}
[0.000311] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000614] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000637] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000652] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.000665] (-) JobUnselected: {'identifier': 'turtlebot3_autorace'}
[0.000679] (-) JobUnselected: {'identifier': 'turtlebot3_autorace_camera'}
[0.000692] (-) JobUnselected: {'identifier': 'turtlebot3_autorace_detect'}
[0.000705] (-) JobUnselected: {'identifier': 'turtlebot3_autorace_mission'}
[0.000717] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.000729] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.000742] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.000754] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.000767] (-) JobUnselected: {'identifier': 'turtlebot3_msgs'}
[0.000780] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.000793] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.000806] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.000821] (turtlebot3_gazebo) JobQueued: {'identifier': 'turtlebot3_gazebo', 'dependencies': OrderedDict()}
[0.000838] (turtlebot3_gazebo) JobStarted: {'identifier': 'turtlebot3_gazebo'}
[0.009340] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'cmake'}
[0.010172] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'build'}
[0.010947] (turtlebot3_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/rokey/turtlebot3_ws/build/turtlebot3_gazebo', '--', '-j8', '-l8'], 'cwd': '/home/rokey/turtlebot3_ws/build/turtlebot3_gazebo', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'ko:en'), ('USER', 'rokey'), ('LC_TIME', 'ko_KR.UTF-8'), ('XDG_SESSION_TYPE', 'wayland'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/home/rokey/turtlebot3_ws/install/turtlebot3_msgs/lib:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/lib:/home/rokey/turtlebot3_ws/install/dynamixel_sdk/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('HOME', '/home/rokey'), ('OLDPWD', '/home/rokey'), ('DESKTOP_SESSION', 'ubuntu'), ('GIO_LAUNCHED_DESKTOP_FILE', '/usr/share/applications/terminator.desktop'), ('GAZEBO_MASTER_URI', 'http://localhost:11345'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'ko_KR.UTF-8'), ('MANAGERPID', '810'), ('SYSTEMD_EXEC_PID', '956'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('TERMINATOR_DBUS_NAME', 'net.tenshu.Terminator25ef4b219e3b005583550f2b0f9f990c3'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '31269'), ('IM_CONFIG_PHASE', '1'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/rokey/turtlebot3_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'rokey'), ('JOURNAL_STREAM', '8:10113'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'rokey'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/usr/share/gazebo-11/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('OGRE_RESOURCE_PATH', '/usr/lib/x86_64-linux-gnu/OGRE-1.9.0'), ('PATH', '/opt/ros/humble/bin:/home/rokey/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin'), ('SESSION_MANAGER', 'local/rokey-550XBE-350XBE:@/tmp/.ICE-unix/919,unix/rokey-550XBE-350XBE:/tmp/.ICE-unix/919'), ('INVOCATION_ID', '05af32216c1a4c9fa76d03639244b027'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'ko_KR.UTF-8'), ('GNOME_SETUP_DISPLAY', ':1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('TERMINATOR_DBUS_PATH', '/net/tenshu/Terminator2'), ('LANG', 'ko_KR.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('IBUS_DISABLE_SNOOPER', '1'), ('LC_TELEPHONE', 'ko_KR.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.XXTG62'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SSH_AGENT_LAUNCHER', 'gnome-keyring'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('ROS_DOMAIN_ID', '18'), ('AMENT_PREFIX_PATH', '/home/rokey/turtlebot3_ws/install/turtlebot3:/home/rokey/turtlebot3_ws/install/turtlebot3_teleop:/home/rokey/turtlebot3_ws/install/turtlebot3_bringup:/home/rokey/turtlebot3_ws/install/turtlebot3_node:/home/rokey/turtlebot3_ws/install/turtlebot3_navigation2:/home/rokey/turtlebot3_ws/install/turtlebot3_example:/home/rokey/turtlebot3_ws/install/turtlebot3_msgs:/home/rokey/turtlebot3_ws/install/turtlebot3_gazebo:/home/rokey/turtlebot3_ws/install/turtlebot3_description:/home/rokey/turtlebot3_ws/install/turtlebot3_cartographer:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_mission:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_detect:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_camera:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_examples:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/rokey/turtlebot3_ws/install/dynamixel_sdk:/opt/ros/humble'), ('SHELL', '/bin/bash'), ('LC_NAME', 'ko_KR.UTF-8'), ('TERMINATOR_UUID', 'urn:uuid:982af485-aeb3-40b3-a0fc-ffbd17b325e5'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'ko_KR.UTF-8'), ('GAZEBO_RESOURCE_PATH', '/usr/share/gazebo-11:'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'ko_KR.UTF-8'), ('GAZEBO_MODEL_DATABASE_URI', 'http://models.gazebosim.org'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/rokey/turtlebot3_ws/build/turtlebot3_gazebo'), ('TURTLEBOT3_MODEL', 'burger_cam'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('GAZEBO_PLUGIN_PATH', '/home/rokey/{your_ws}/build/turtlebot3_gazebo:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/rokey/turtlebot3_ws/build/turtlebot3_teleop:/home/rokey/turtlebot3_ws/install/turtlebot3_teleop/lib/python3.10/site-packages:/home/rokey/turtlebot3_ws/build/turtlebot3_example:/home/rokey/turtlebot3_ws/install/turtlebot3_example/lib/python3.10/site-packages:/home/rokey/turtlebot3_ws/install/turtlebot3_msgs/local/lib/python3.10/dist-packages:/home/rokey/turtlebot3_ws/build/turtlebot3_autorace_mission:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_mission/lib/python3.10/site-packages:/home/rokey/turtlebot3_ws/build/turtlebot3_autorace_detect:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_detect/lib/python3.10/site-packages:/home/rokey/turtlebot3_ws/build/turtlebot3_autorace_camera:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_camera/lib/python3.10/site-packages:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/local/lib/python3.10/dist-packages:/home/rokey/turtlebot3_ws/install/dynamixel_sdk/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('LC_NUMERIC', 'ko_KR.UTF-8'), ('LC_PAPER', 'ko_KR.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6800'), ('CMAKE_PREFIX_PATH', '/home/rokey/turtlebot3_ws/install/turtlebot3:/home/rokey/turtlebot3_ws/install/turtlebot3_bringup:/home/rokey/turtlebot3_ws/install/turtlebot3_node:/home/rokey/turtlebot3_ws/install/turtlebot3_navigation2:/home/rokey/turtlebot3_ws/install/turtlebot3_msgs:/home/rokey/turtlebot3_ws/install/turtlebot3_gazebo:/home/rokey/turtlebot3_ws/install/turtlebot3_description:/home/rokey/turtlebot3_ws/install/turtlebot3_cartographer:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_examples:/home/rokey/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/rokey/turtlebot3_ws/install/dynamixel_sdk:/home/rokey/turtlebot3_ws/install/turtlebot3_teleop:/home/rokey/turtlebot3_ws/install/turtlebot3_example:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_mission:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_detect:/home/rokey/turtlebot3_ws/install/turtlebot3_autorace_camera:/opt/ros/humble')]), 'shell': False}
[0.086919] (turtlebot3_gazebo) StdoutLine: {'line': b'\x1b[35m\x1b[1mConsolidate compiler generated dependencies of target traffic_signal_plugin\x1b[0m\n'}
[0.096186] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 14%] Built target turtlebot3_drive\n'}
[0.099660] (-) TimerEvent: {}
[0.108823] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 28%] Built target traffic_bar_plugin\n'}
[0.113859] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 42%] Built target traffic_light_plugin\n'}
[0.114062] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 57%] Built target obstacles\n'}
[0.116331] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 71%] Built target obstacle2\n'}
[0.118589] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 85%] Built target obstacle1\n'}
[0.122087] (turtlebot3_gazebo) StdoutLine: {'line': b'[100%] Built target traffic_signal_plugin\n'}
[0.173537] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_world/model-1_4.sdf\n'}
[0.173607] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_world/model.config\n'}
[0.173692] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//models/turtlebot3_world/model.sdf\n'}
[0.173797] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//rviz/tb3_gazebo.rviz\n'}
[0.174031] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//urdf/common_properties.urdf\n'}
[0.174149] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//urdf/turtlebot3_burger.urdf\n'}
[0.174239] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//urdf/turtlebot3_burger_cam.urdf\n'}
[0.174324] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//urdf/turtlebot3_waffle.urdf\n'}
[0.174404] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//urdf/turtlebot3_waffle_pi.urdf\n'}
[0.174574] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/empty_world.world\n'}
[0.174661] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_autorace_2020.world\n'}
[0.174746] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_autorace_2025.world\n'}
[0.174861] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage1.world\n'}
[0.174940] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage2.world\n'}
[0.175016] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage3.world\n'}
[0.175084] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_dqn_stage4.world\n'}
[0.175174] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_house.world\n'}
[0.175257] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//worlds/turtlebot3_world.world\n'}
[0.175553] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/obstacle1.hpp\n'}
[0.175676] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/obstacle2.hpp\n'}
[0.175762] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/obstacles.hpp\n'}
[0.175840] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/traffic_bar_plugin.hpp\n'}
[0.175914] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/traffic_light_plugin.hpp\n'}
[0.175997] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/traffic_signal_plugin.hpp\n'}
[0.176072] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/include//turtlebot3_gazebo/turtlebot3_drive.hpp\n'}
[0.176227] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/ament_index/resource_index/package_run_dependencies/turtlebot3_gazebo\n'}
[0.176381] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/ament_index/resource_index/parent_prefix_path/turtlebot3_gazebo\n'}
[0.176614] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/environment/ament_prefix_path.sh\n'}
[0.176816] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/environment/ament_prefix_path.dsv\n'}
[0.176905] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/environment/path.sh\n'}
[0.177001] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/environment/path.dsv\n'}
[0.177098] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/local_setup.bash\n'}
[0.177244] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/local_setup.sh\n'}
[0.177431] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/local_setup.zsh\n'}
[0.177603] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/local_setup.dsv\n'}
[0.177692] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Symlinking: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/package.dsv\n'}
[0.186705] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/ament_index/resource_index/packages/turtlebot3_gazebo\n'}
[0.186956] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/cmake/ament_cmake_export_include_directories-extras.cmake\n'}
[0.187027] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/cmake/ament_cmake_export_dependencies-extras.cmake\n'}
[0.187119] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/cmake/turtlebot3_gazeboConfig.cmake\n'}
[0.187190] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/cmake/turtlebot3_gazeboConfig-version.cmake\n'}
[0.187332] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/rokey/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo/package.xml\n'}
[0.189792] (turtlebot3_gazebo) CommandEnded: {'returncode': 0}
[0.199822] (-) TimerEvent: {}
[0.210805] (turtlebot3_gazebo) JobEnded: {'identifier': 'turtlebot3_gazebo', 'rc': 0}
[0.211559] (-) EventReactorShutdown: {}
